Avg Year,Type,Avg Deaths,,0
2005.666667,Interstate,36423.33333,,
1998.333333,Interstate,39482,,
2001,Interstate,32451.33333,,
2005.333333,Interstate,22551,,
1995.666667,Interstate,39155.66667,,
2000.333333,Interstate,60061.33333,,
2019,Interstate,109077,,
2010.666667,Interstate,109895,,
1993.333333,Interstate,50996.66667,,
2009.666667,Interstate,51455.66667,,
2006.333333,Interstate,17407.33333,,
2000.333333,Interstate,44904.66667,,
2014.333333,Interstate,139380,,
2009,Interstate,29816.66667,,
2019.333333,Interstate,162924.6667,,
2011,Interstate,47799,,
2005,Interstate,42970.66667,,
1998.333333,Interstate,34860,,
2003.666667,Interstate,26629.66667,,
2009,Interstate,101206.3333,,
1995,Interstate,293680.3333,,
2004.666667,Interstate,30938.33333,,
2007.333333,Interstate,39979.33333,,
1993.333333,Intrastate,45161.33333,,
2008,Interstate,71470.66667,,
2007.666667,Interstate,74821,,
2012,Interstate,42108.33333,,
2005,Interstate,51572,,
2004.333333,Interstate,278458.3333,,
1994,Interstate,49829.33333,,
2012.666667,Interstate,107272.6667,,
2008.666667,Interstate,87038.33333,,
2014,Interstate,63903.33333,,
2002.666667,Interstate,60792.66667,,
2007.333333,Interstate,31816.66667,,
2008.666667,Interstate,52633,,
2009.666667,Interstate,45333.33333,,
2005.333333,Interstate,89596,,
1996,Interstate,35329,,
2013.333333,Interstate,32143.33333,,
2010.666667,Interstate,66175.66667,,
2004.333333,Interstate,24103,,
2010.666667,Interstate,73838.66667,,
2007.333333,Interstate,48089.66667,,
1993.666667,Interstate,46959.66667,,
2012.666667,Interstate,75271,,
1999,Interstate,275887,,
2010,Interstate,360200.6667,,
2013.333333,Interstate,85086.66667,,
1993.333333,One-sided violence,537575,,
2011.666667,Interstate,52515.33333,,
2009.333333,Interstate,55614,,
2007.333333,Interstate,58095.66667,,
2001,Interstate,303689,,
2007.666667,Interstate,55615,,
1996.333333,Interstate,282688,,
2003.666667,Interstate,49647.66667,,
2003,Interstate,64268,,
2000.333333,Interstate,313514,,
2002.333333,Interstate,33746.33333,,
2009.666667,Interstate,92820.33333,,
2001.666667,Interstate,63709,,
1997,Interstate,39574,,
2004.333333,Interstate,339440.6667,,
2000.666667,Interstate,36356,,
1993.666667,Interstate,60189.66667,,
1998,Interstate,41329.33333,,
2000.333333,Interstate,33760,,
2012.666667,Interstate,46783,,
2010,Interstate,50610,,
1999.333333,Interstate,36676.33333,,
