학년,출발 시간,학교 도착 시간,학교까지 걸리는 시간,주사용 교통수단,지각 빈도,지각 원인,DATE,지각자 수,TEM,WEATHER CONDITION,WIND,HUMIDITY,BAROMETER
11학년,7:10~7:20,7:30~7:40,10~20분,택시,거의 없음,지각을 잘 안함,10/22,1명,27,broken clouds,6km/h,94%,1009mbar
11학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,10/23,3명,26,partly sunny,9km/h,94%,1009mbar
11학년,7:00~7:10,7:20~7:30,10~20분,오토바이,거의 없음,지각을 잘 안함,10/24,1명,28,passing clouds,11km/h,79%,1009mbar
11학년,7:30~7:40,7:50~8:00,10~20분,오토바이,한 달에 1~2번,"교통 문제( 차 막힘, 사고)",10/25,2명,28,partly sunny,7km/h,89%,1008mbar
11학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,10/28,3명,25,partly sunny,4km/h,89%,1006mbar
11학년,7:20~7:30,7:40~7:50,10~20분,버스,거의 없음,택시 호출 지연( 날씨 영향 없는),10/29,3명,26,scattered clouds,11km/h,94%,1008mbar
11학년,7:20~7:30,7:50~8:00,10~20분,오토바이,한 달에 1~2번,"교통 문제( 차 막힘, 사고), 늦잠",10/30,0명,28,passing clouds,7km/h,89%,1010mbar
12학년,7:40~7:50,7:50~8:00,10분 이내,오토바이,거의 없음,"늦잠, 지각을 잘 안함",10/31,6명,28,passing clouds,11km/h,79%,1009mbar
11학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,11/1,0명,27,clear,6km/h,94%,1010mbar
9학년,7:10~7:20,7:30~7:40,10분 이내,버스,거의 없음,지각을 잘 안함,11/4,1명,29,sunny,4km/h,70%,1011mbar
11학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,날씨 문제( 비),11/5,1명,27,passing clouds,11km/h,84%,1011mbar
12학년,7:30~7:40,7:50~8:00,10~20분,택시,한 달에 1~2번,"교통 문제( 차 막힘, 사고), 날씨 문제( 비), 택시 호출 지연( 날씨 영향 없는)",11/6,1명,28,passing clouds,4km/h,79%,1012mbar
11학년,7:00~7:10,7:50~8:00,30분 이상,개인 차,거의 없음,"교통 문제( 차 막힘, 사고)",11/7,2명,27,sunny,4km/h,84%,1012mbar
10학년,7:20~7:30,7:40~7:50,10분 이내,오토바이,거의 없음,지각을 잘 안함,11/8,1명,27,passing clouds,6km/h,74%,1011mbar
10학년,7:40~7:50,7:50~8:00,10분 이내,걸어서,거의 없음,지각을 잘 안함,11/11,0명,27,fog,4km/h,89%,1010mbar
11학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,11/12,5명,28,fog,4km/h,89%,1010mbar
11학년,7:30~7:40,7:50~8:00,10분 이내,택시,거의 없음,지각을 잘 안함,11/13,0명,28,partly sunny,11km/h,89%,1009mbar
11학년,7:30~7:40,7:50~8:00,10분 이내,개인 차,한 달에 1~2번,늦잠,11/14,1명,29,sunny,15km/h,79%,1010mbar
11학년,7:20~7:30,7:40~7:50,10~20분,택시,거의 없음,"택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",11/15,3명,28,passing clouds,13km/h,84%,1010mbar
11학년,6:30~7:00,7:00~7:10,10분 이내,오토바이,거의 없음,택시 호출 지연( 날씨 영향 없는),11/18,2명,28,clear,2km/h,79%,1010mbar
11학년,6:30~7:00,7:40~7:50,30분 이상,개인 차,거의 없음,"교통 문제( 차 막힘, 사고)",11/19,0명,27,fog,7km/h,89%,1010mbar
11학년,7:10~7:20,7:30~7:40,10~20분,개인 차,한 달에 1~2번,"교통 문제( 차 막힘, 사고), 늦잠",11/20,4명,28,passing clouds,6km/h,79%,1011mbar
9학년,7:30~7:40,7:50~8:00,10~20분,개인 차,거의 없음,"교통 문제( 차 막힘, 사고), 택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",11/21,2명,29,clear,6km/h,79%,1009mbar
11학년,7:10~7:20,7:40~7:50,30분 이상,택시,한 달에 1~2번,"교통 문제( 차 막힘, 사고), 날씨 문제( 비)",,,,,,,
11학년,6:30~7:00,7:30~7:40,30분 이상,버스,거의 없음,"교통 문제( 차 막힘, 사고), 날씨 문제( 비), 택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",,,,,,,
11학년,7:40~7:50,7:50~8:00,10분 이내,택시,거의 없음,지각을 잘 안함,,,,,,,
11학년,7:30~7:40,7:50~8:00,10~20분,택시,거의 없음,"교통 문제( 차 막힘, 사고), 날씨 문제( 비), 택시 호출 지연( 날씨 영향 없는)",,,,,,,
12학년,7:30~7:40,7:50~8:00,10분 이내,오토바이,한 달에 1~2번,날씨 문제( 비),,,,,,,
10학년,7:30~7:40,7:50~8:00,10~20분,택시,한 달에 1~2번,"교통 문제( 차 막힘, 사고), 날씨 문제( 비), 택시 호출 지연( 날씨 영향 없는)",,,,,,,
11학년,7:20~7:30,7:40~7:50,10~20분,오토바이,거의 없음,"교통 문제( 차 막힘, 사고), 택시 호출 지연( 날씨 영향 없는)",,,,,,,
11학년,7:20~7:30,7:40~7:50,10~20분,택시,거의 없음,택시 호출 지연( 날씨 영향 없는),,,,,,,
9학년,7:00~7:10,7:20~7:30,10~20분,버스,거의 없음,지각을 잘 안함,,,,,,,
11학년,7:20~7:30,7:40~7:50,10~20분,개인 차,거의 없음,지각을 잘 안함,,,,,,,
11학년,7:30~7:40,7:40~7:50,10분 이내,택시,거의 없음,"교통 문제( 차 막힘, 사고), 날씨 문제( 비), 택시 호출 지연( 날씨 영향 없는)",,,,,,,
11학년,7:20~7:30,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,,,,,,,
12학년,7:30~7:40,7:50~8:00,10분 이내,택시,한 달에 1~2번,날씨 문제( 비),,,,,,,
10학년,7:10~7:20,7:40~7:50,10~20분,택시,한 달에 1~2번,날씨 문제( 비),,,,,,,
9학년,7:20~7:30,7:30~7:40,10분 이내,걸어서,거의 없음,지각을 잘 안함,,,,,,,
11학년,7:10~7:20,7:50~8:00,10~20분,택시,한 달에 1~2번,날씨 문제( 비),,,,,,,
12학년,7:30~7:40,7:50~8:00,10~20분,오토바이,한 달에 1~2번,날씨 문제( 비),,,,,,,
9학년,7:00~7:10,7:20~7:30,10~20분,버스,거의 없음,지각을 잘 안함,,,,,,,
